16_wpf_data_ID1_3_[(300, 288)]_hs32_nl2_zs64_ssam50_zsam50_bf50_ep700_lr0.001_dr0.01_sf0.0002
result:test>>>step:72, mse:0.7759463812507872,mae:0.6480771763934496,mape:223.62386474266222

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl3_zs16_ssam20_zsam20_bf10_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7078314770902725,mae:0.6302766227298425,mape:212.0891336135554

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl3_zs16_ssam20_zsam20_bf10_ep700_lr0.0005_dr0.01_sf0.0002  
result:test>>>step:72, mse:0.7083737314290256,mae:0.6329321349999494,mape:217.00394447102605

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl3_zs16_ssam20_zsam20_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:72, mse:0.674508486658503,mae:0.5849938038078896,mape:279.8808205577687

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl3_zs16_ssam20_zsam20_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:72, mse:0.6037606278513883,mae:0.5658137986022792,mape:263.0613320943165

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs16_ssam5_zsam5_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:72, mse:0.5660577239095029,mae:0.554999160069791,mape:209.13221482115668

32_wpf_data_ID1_3_[(80, 72)]_hs16_nl2_zs16_ssam5_zsam5_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:72, mse:0.5404677669014328,mae:0.5278045597673319,mape:211.747875718731

32_wpf_data_ID1_3_[(150, 144)]_hs16_nl2_zs16_ssam5_zsam5_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:144, mse:0.562716707771707,mae:0.5468208898131971,mape:210.1044413483629

32_wpf_data_ID1_3_[(150, 144)]_hs16_nl2_zs16_ssam5_zsam5_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:144, mse:0.5549472209246036,mae:0.542796609276923,mape:219.86342452028117

32_wpf_data_ID1_3_[(150, 144)]_hs32_nl2_zs32_ssam10_zsam10_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:144, mse:0.5041003248430783,mae:0.48977834994943065,mape:216.71226190165032

32_wpf_data_ID1_3_[(150, 144)]_hs32_nl2_zs32_ssam10_zsam10_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:144, mse:0.5312486270356238,mae:0.5063104858331857,mape:201.35643387974318

32_wpf_data_ID1_3_[(300, 288)]_hs32_nl2_zs32_ssam10_zsam10_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:288, mse:0.547876208601833,mae:0.5399861878400842,mape:227.1190983572472

32_wpf_data_ID1_3_[(300, 288)]_hs32_nl2_zs32_ssam10_zsam10_bf10_ep800_lr0.001_dr0.001_sf0.0002  
result:test>>>step:288, mse:0.5551763661655937,mae:0.5418550115839146,mape:211.82943891888704

32_wpf_data_ID1_3_[(300, 288)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep500_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:288, mse:0.7080830721122462,mae:0.682202434026183,mape:154.72340769784125

32_wpf_data_ID1_3_[(300, 288)]_hs16_nl2_zs32_ssam10_zsam10_bf10_ep500_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:288, mse:0.6249682383953344,mae:0.6214776373607787,mape:179.5886741228657

32_wpf_data_ID1_3_[(600, 576)]_hs32_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.883364300879895,mae:0.7533940507491826,mape:180.33025147197216

32_wpf_data_ID1_3_[(600, 576)]_hs32_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.903675240907822,mae:0.7639852441202901,mape:178.07243930055174

32_wpf_data_ID1_3_[(600, 576)]_hs64_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.7258716323265073,mae:0.6600030987896957,mape:265.2961658408453

32_wpf_data_ID1_3_[(600, 576)]_hs64_nl2_zs32_ssam10_zsam10_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.7281831022182125,mae:0.6556456267242889,mape:252.88996868813118

32_wpf_data_ID1_3_[(600, 576)]_hs32_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.6257908770760211,mae:0.6157493733060408,mape:217.89901022940268

32_wpf_data_ID1_3_[(600, 576)]_hs32_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.6303261677810253,mae:0.6232875609112616,mape:212.291561943144

16_wpf_data_ID1_3_[(600, 576)]_hs64_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.5657030420733462,mae:0.5977141485428217,mape:147.8203937007534

16_wpf_data_ID1_3_[(600, 576)]_hs64_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:576, mse:0.5702317660701999,mae:0.5938432585800957,mape:153.9546963802546

8_ETT_3_[(820, 800)]_hs64_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.1565194269340081,mae:0.2918820043442782,mape:149.83773759935832

8_ETT_3_[(820, 800)]_hs64_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.0001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.14833815724939245,mae:0.2943075692756909,mape:137.23474996139217

8_ETT_3_[(820, 800)]_hs32_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.18758236460417188,mae:0.3368377554227938,mape:119.52984994342522

8_ETT_3_[(820, 800)]_hs32_nl2_zs32_ssam20_zsam20_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2609862879599908,mae:0.41126279411136607,mape:113.63019823336973

8_ETT_3_[(820, 800)]_hs32_nl2_zs32_ssam100_zsam100_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.16965176011842914,mae:0.3157237198005764,mape:192.03970372928714

8_ETT_3_[(820, 800)]_hs32_nl2_zs32_ssam100_zsam100_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2646957582861607,mae:0.3595615211089396,mape:203.34485773405777

8_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.20562702425368415,mae:0.3440689440257442,mape:341.47137450214785

8_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep700_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.24611709486068978,mae:0.38013705622168326,mape:359.2171425883302

8_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2532206958920665,mae:0.3949680494100849,mape:204.48845344431675

8_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2969283942783215,mae:0.41390517802557825,mape:224.995419632827

8_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2887872296634964,mae:0.41186620454826584,mape:197.63461268707553

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2117673639994282,mae:0.36235059883152543,mape:238.55065758879533

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.19972409533588192,mae:0.34922679840366344,mape:201.9725324585012

